Time,60 F,65 F,70 F,Time,68 F
94.00,3.80625,3.81,4.20,94,4.4625
94.00,3.675,3.94,4.20,94,4.4625
94.00,3.80625,3.81,4.20,94,4.33125
94.00,3.675,3.94,4.20,94,4.4625
95.00,3.80625,3.81,4.20,95,4.4625
95.00,3.675,3.81,4.20,95,4.4625
95.00,3.675,3.94,4.20,95,4.4625
95.00,3.80625,3.81,4.20,95,4.4625
95.00,3.675,3.94,4.20,96,4.4625
95.00,3.80625,3.94,4.20,96,4.4625
96.00,3.675,3.94,4.20,96,4.4625
96.00,3.80625,3.94,4.20,96,4.4625
96.00,3.80625,3.94,4.20,97,4.4625
96.00,3.675,3.81,4.20,97,4.4625
96.00,3.675,4.07,4.20,97,4.4625
96.00,3.80625,3.94,4.20,97,4.4625
97.00,3.675,3.94,4.20,97,4.4625
97.00,3.80625,3.81,4.20,97,4.4625
97.00,3.675,4.07,4.20,98,4.4625
97.00,3.80625,3.94,4.33,98,4.4625
97.00,3.675,4.07,4.20,98,4.4625
98.00,3.80625,3.94,4.20,99,4.4625
98.00,3.675,4.07,4.33,99,4.4625
98.00,3.80625,3.94,4.20,99,4.4625
98.00,3.675,3.81,4.33,99,4.4625
98.00,3.80625,3.94,4.20,100,4.4625
99.00,3.675,3.94,4.33,100,4.4625
99.00,3.80625,3.94,4.20,100,4.4625
99.00,3.80625,3.94,4.33,101,4.4625
99.00,3.80625,4.07,4.20,101,4.4625
99.00,3.675,3.94,4.20,101,4.4625
100.00,3.80625,3.94,4.33,101,4.4625
100.00,3.80625,3.94,4.20,102,4.4625
100.00,3.80625,3.94,4.33,102,4.4625
100.00,3.80625,3.94,4.20,102,4.4625
101.00,3.80625,3.94,4.20,102,4.4625
101.00,3.80625,3.81,4.33,103,4.4625
101.00,3.80625,3.81,4.20,103,4.4625
101.00,3.80625,3.81,4.33,103,4.4625
102.00,3.80625,3.81,4.33,104,4.4625
102.00,3.80625,3.94,4.20,104,4.4625
102.00,3.80625,3.81,4.33,104,4.4625
102.00,3.80625,3.94,4.20,104,4.4625
102.00,3.80625,3.81,4.33,105,4.4625
103.00,3.80625,3.94,4.20,105,4.4625
103.00,3.80625,3.81,4.20,105,4.4625
103.00,3.80625,3.94,4.20,106,4.4625
103.00,3.80625,3.81,4.33,106,4.4625
103.00,3.9375,3.94,4.20,106,4.4625
103.00,3.80625,3.81,4.33,106,4.4625
104.00,3.80625,3.94,4.20,107,4.4625
104.00,3.80625,4.07,4.33,107,4.4625
104.00,3.80625,4.07,4.33,107,4.4625
104.00,3.80625,4.07,4.33,108,4.4625
104.00,3.80625,4.07,4.20,108,4.4625
105.00,3.80625,4.07,4.33,108,4.4625
105.00,3.80625,4.07,4.20,108,4.4625
105.00,3.80625,4.07,4.33,109,4.4625
105.00,3.80625,4.07,4.20,109,4.4625
106.00,3.80625,4.07,4.33,109,4.4625
106.00,3.80625,4.07,4.33,109,4.4625
106.00,3.9375,4.07,4.33,110,4.4625
107.00,3.80625,4.07,4.33,110,4.4625
107.00,3.80625,4.07,4.20,110,4.4625
107.00,3.80625,4.07,4.33,110,4.4625
107.00,3.80625,4.07,4.33,111,4.4625
108.00,3.80625,4.07,4.33,111,4.4625
108.00,3.9375,4.07,4.20,111,4.4625
108.00,3.80625,4.07,4.33,111,4.4625
108.00,3.9375,4.07,4.20,112,4.4625
109.00,3.80625,3.94,4.33,112,4.4625
109.00,3.80625,3.94,4.33,112,4.4625
109.00,3.80625,4.07,4.33,113,4.4625
109.00,3.80625,3.94,4.33,113,4.4625
109.00,3.80625,3.94,4.33,113,4.4625
110.00,3.80625,3.94,4.33,113,4.4625
110.00,3.9375,3.94,4.33,114,4.33125
110.00,3.80625,3.81,4.33,114,4.4625
110.00,3.80625,3.94,4.33,114,4.4625
111.00,3.80625,3.94,4.33,114,4.4625
111.00,3.9375,4.07,4.33,115,4.4625
111.00,3.80625,3.94,4.33,115,4.4625
111.00,3.9375,4.07,4.33,115,4.4625
111.00,3.80625,3.94,4.33,116,4.4625
111.00,3.9375,3.94,4.33,116,4.4625
112.00,3.80625,3.94,4.33,116,4.4625
112.00,3.9375,4.07,4.33,116,4.4625
112.00,3.80625,3.94,4.33,117,4.4625
112.00,3.9375,3.94,4.33,117,4.4625
112.00,3.80625,3.94,4.33,117,4.4625
113.00,3.80625,3.94,4.33,118,4.4625
113.00,3.9375,3.94,4.33,118,4.4625
113.00,3.80625,3.81,4.33,118,4.4625
113.00,3.80625,3.94,4.33,118,4.4625
113.00,3.80625,4.20,4.33,119,4.4625
